"PKPostId","SymbolFK","score"
"gvyd2g3","apha","0.683544303797468"
"gvyd2g3","tlry","0.683544303797468"
"gvyd2g3","apha","0.675324675324675"
"gvyd2g3","tlry","0.666666666666667"
"gvyd2g3","apha","0.603174603174603"
"gvyd2g3","tlry","0.825396825396825"
"gvyd2g3","tlry","0.986666666666667"
"gvyd2g3","apha","1.01298701298701"
"gvyd2g3","tlry","1.0379746835443"
"gvyd2g3","apha","1.06172839506173"
"gvyd2o6","ubs","-0.878521889900303"
"gvydeic","ubs","-0.878521889900303"
"gvydeic","twtr","-0.3813307904217"
"gvydhfl","amzn","1.31394533987386"
"gvyduw5","apha","0.683544303797468"
"gvyduw5","tlry","0.683544303797468"
"gvyduw5","apha","0.675324675324675"
"gvyduw5","tlry","0.666666666666667"
"gvyduw5","apha","0.603174603174603"
"gvyduw5","tlry","0.761904761904762"
"gvyduw5","tlry","0.853333333333333"
"gvyduw5","apha","0.857142857142857"
"gvyduw5","tlry","0.860759493670886"
"gvyduw5","apha","0.864197530864197"
"gvyepln","amzn","1.30790006752194"
"gvyf9cb","ocgn","1.68421052631579"
"gvyf9cb","ocgn","1.61290322580645"
"gvyfpsq","amzn","1.30790006752194"
"gvyfpwa","ubs","-0.88230117698823"
"gvyg0bm","ubs","-0.841519131924614"
"gvyglbu","amzn","1.30403645833333"
"gvygzl8","ubs","-0.88230117698823"
"gvyhy5x","twtr","1.51923076923077"
"gvyigr4","amzn","1.31394533987386"
"gvyiuqo","twtr","1.45054945054945"
"gvyjc9n","ocgn","1.03571428571429"
"gvyjc9n","ocgn","1.03571428571429"
"gvyjc9n","pfe","0.971428571428571"
"gvyjtq6","ocgn","1.02857142857143"
"gvyjtq6","ocgn","1.02857142857143"
